Date,Day_of_Week,Holiday_Indicator,Sales
2010-01-01,Friday,0,453
2010-01-02,Saturday,0,248
2010-01-03,Sunday,0,268
2010-01-04,Monday,0,497
2010-01-05,Tuesday,0,421
2010-01-06,Wednesday,0,421
2010-01-07,Thursday,0,500
2010-01-08,Friday,0,465
2010-01-09,Saturday,0,240
2010-01-10,Sunday,0,265
2010-01-11,Monday,0,411
2010-01-12,Tuesday,0,411
2010-01-13,Wednesday,0,442
2010-01-14,Thursday,1,524
2010-01-15,Friday,0,357
2010-01-16,Saturday,0,237
2010-01-17,Sunday,0,226
2010-01-18,Monday,0,445
2010-01-19,Tuesday,0,392
2010-01-20,Wednesday,0,370
2010-01-21,Thursday,0,495
2010-01-22,Friday,0,422
2010-01-23,Saturday,0,253
2010-01-24,Sunday,0,216
2010-01-25,Monday,0,408
2010-01-26,Tuesday,1,655
2010-01-27,Wednesday,0,382
2010-01-28,Thursday,0,448
2010-01-29,Friday,0,406
2010-01-30,Saturday,0,244
2010-01-31,Sunday,0,236
2010-02-01,Monday,0,469
2010-02-02,Tuesday,0,395
2010-02-03,Wednesday,0,354
2010-02-04,Thursday,0,428
2010-02-05,Friday,0,347
2010-02-06,Saturday,0,235
2010-02-07,Sunday,0,185
2010-02-08,Monday,0,343
2010-02-09,Tuesday,0,403
2010-02-10,Wednesday,0,425
2010-02-11,Thursday,0,402
2010-02-12,Friday,0,391
2010-02-13,Saturday,0,224
2010-02-14,Sunday,0,196
2010-02-15,Monday,0,367
2010-02-16,Tuesday,0,377
2010-02-17,Wednesday,0,437
2010-02-18,Thursday,0,409
2010-02-19,Friday,0,326
2010-02-20,Saturday,0,238
2010-02-21,Sunday,0,222
2010-02-22,Monday,0,369
2010-02-23,Tuesday,0,420
2010-02-24,Wednesday,0,436
2010-02-25,Thursday,0,432
2010-02-26,Friday,1,544
2010-02-27,Saturday,0,223
2010-02-28,Sunday,0,238
2010-03-01,Monday,1,770
2010-03-02,Tuesday,0,445
2010-03-03,Wednesday,0,459
2010-03-04,Thursday,0,416
2010-03-05,Friday,0,412
2010-03-06,Saturday,0,295
2010-03-07,Sunday,0,310
2010-03-08,Monday,0,464
2010-03-09,Tuesday,0,514
2010-03-10,Wednesday,0,484
2010-03-11,Thursday,0,437
2010-03-12,Friday,0,484
2010-03-13,Saturday,0,314
2010-03-14,Sunday,0,272
2010-03-15,Monday,0,541
2010-03-16,Tuesday,0,345
2010-03-17,Wednesday,0,506
2010-03-18,Thursday,0,472
2010-03-19,Friday,0,454
2010-03-20,Saturday,0,275
2010-03-21,Sunday,0,218
2010-03-22,Monday,0,457
2010-03-23,Tuesday,0,484
2010-03-24,Wednesday,0,537
2010-03-25,Thursday,0,443
2010-03-26,Friday,0,430
2010-03-27,Saturday,0,259
2010-03-28,Sunday,1,446
2010-03-29,Monday,0,483
2010-03-30,Tuesday,0,443
2010-03-31,Wednesday,0,492
2010-04-01,Thursday,0,327
2010-04-02,Friday,1,533
2010-04-03,Saturday,0,175
2010-04-04,Sunday,1,274
2010-04-05,Monday,0,311
2010-04-06,Tuesday,0,276
2010-04-07,Wednesday,0,333
2010-04-08,Thursday,0,332
2010-04-09,Friday,0,324
2010-04-10,Saturday,0,184
2010-04-11,Sunday,0,162
2010-04-12,Monday,0,310
2010-04-13,Tuesday,0,312
2010-04-14,Wednesday,0,298
2010-04-15,Thursday,0,318
2010-04-16,Friday,0,337
